"seed","replicate","method","parameter","truth","estimate","abs_error"
20260821,9,"separate_mirage","eta1_C3",0.5,0.836032076459739,0.336032076459739
20260821,9,"separate_mirage","eta2_C1",0.03,0.0810990757076226,0.0510990757076226
20260821,9,"separate_mirage","eta2_C2",0.15,0.198817322637796,0.0488173226377959
20260821,9,"separate_mirage","eta2_C3",0.4,0.999859550636758,0.599859550636758
20260821,9,"mtada_aggregated","pi00",0.94,0.93133834,0.00866166000000002
20260821,9,"mtada_aggregated","pi10",0.04,0.04866166,0.00866166
20260821,9,"mtada_aggregated","pi01",0.01,0.01866166,0.00866166
20260821,9,"mtada_aggregated","pi11",0.01,0.00133834,0.00866166
20260822,10,"mirage_joint","pi00",0.94,0.844127615446667,0.0958723845533331
20260822,10,"mirage_joint","pi10",0.04,0.0765980977430794,0.0365980977430794
20260822,10,"mirage_joint","pi01",0.01,0.0639302824491159,0.0539302824491159
20260822,10,"mirage_joint","pi11",0.01,0.0153440043611378,0.00534400436113776
20260822,10,"mirage_joint","eta1_C1",0.05,0.119322082410406,0.0693220824104064
20260822,10,"mirage_joint","eta1_C2",0.2,0.326974550080331,0.126974550080331
20260822,10,"mirage_joint","eta1_C3",0.5,0.509262871738151,0.00926287173815121
20260822,10,"mirage_joint","eta2_C1",0.03,0.149188282866285,0.119188282866285
20260822,10,"mirage_joint","eta2_C2",0.15,0.0599668441212125,0.0900331558787875
20260822,10,"mirage_joint","eta2_C3",0.4,0.791286444851507,0.391286444851507
20260822,10,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260822,10,"separate_mirage","pi10",0.04,0.049,0.009
20260822,10,"separate_mirage","pi01",0.01,0.019,0.009
20260822,10,"separate_mirage","pi11",0.01,0.001,0.009
20260822,10,"separate_mirage","eta1_C1",0.05,0.160206937332606,0.110206937332606
20260822,10,"separate_mirage","eta1_C2",0.2,0.563061744272021,0.363061744272021
20260822,10,"separate_mirage","eta1_C3",0.5,0.672346023417194,0.172346023417194
20260822,10,"separate_mirage","eta2_C1",0.03,0.212802207567783,0.182802207567783
20260822,10,"separate_mirage","eta2_C2",0.15,0.128760099621279,0.0212399003787212
20260822,10,"separate_mirage","eta2_C3",0.4,0.999997517325423,0.599997517325423
20260822,10,"mtada_aggregated","pi00",0.94,0.93133182,0.00866818000000003
20260822,10,"mtada_aggregated","pi10",0.04,0.04866818,0.00866818
20260822,10,"mtada_aggregated","pi01",0.01,0.01866818,0.00866818
20260822,10,"mtada_aggregated","pi11",0.01,0.00133182,0.00866818
