"seed","replicate","method","parameter","truth","estimate","abs_error"
20260821,9,"mtada_aggregated","pi01",0.01,0.01205989,0.00205989
20260821,9,"mtada_aggregated","pi11",0.01,0.00794011,0.00205989
20260822,10,"mirage_joint","pi00",0.94,0.915929894606403,0.0240701053935969
20260822,10,"mirage_joint","pi10",0.04,0.0635777954150495,0.0235777954150495
20260822,10,"mirage_joint","pi01",0.01,0.00568524882510722,0.00431475117489278
20260822,10,"mirage_joint","pi11",0.01,0.0148070611534401,0.00480706115344011
20260822,10,"mirage_joint","eta1_C1",0.05,0.0465843894607797,0.00341561053922032
20260822,10,"mirage_joint","eta1_C2",0.2,0.323131947168821,0.123131947168821
20260822,10,"mirage_joint","eta1_C3",0.5,0.550474782410025,0.0504747824100247
20260822,10,"mirage_joint","eta2_C1",0.03,8.09139387559373e-05,0.0299190860612441
20260822,10,"mirage_joint","eta2_C2",0.15,0.290658646080368,0.140658646080368
20260822,10,"mirage_joint","eta2_C3",0.4,0.032463021535647,0.367536978464353
20260822,10,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260822,10,"separate_mirage","pi10",0.04,0.049,0.009
20260822,10,"separate_mirage","pi01",0.01,0.019,0.009
20260822,10,"separate_mirage","pi11",0.01,0.001,0.009
20260822,10,"separate_mirage","eta1_C1",0.05,0.0595999304927756,0.00959993049277558
20260822,10,"separate_mirage","eta1_C2",0.2,0.423870690425549,0.223870690425549
20260822,10,"separate_mirage","eta1_C3",0.5,0.720472704410414,0.220472704410414
20260822,10,"separate_mirage","eta2_C1",0.03,0.000201251917477494,0.0297987480825225
20260822,10,"separate_mirage","eta2_C2",0.15,0.240418047983997,0.0904180479839974
20260822,10,"separate_mirage","eta2_C3",0.4,0.0769299820667131,0.323070017933287
20260822,10,"mtada_aggregated","pi00",0.94,0.93911278,0.000887219999999966
20260822,10,"mtada_aggregated","pi10",0.04,0.04088722,0.000887220000000001
20260822,10,"mtada_aggregated","pi01",0.01,0.01088722,0.000887220000000001
20260822,10,"mtada_aggregated","pi11",0.01,0.00911278,0.000887220000000001
20260823,11,"mirage_joint","pi00",0.94,0.907081002221775,0.0329189977782254
20260823,11,"mirage_joint","pi10",0.04,0.0756800479899637,0.0356800479899637
20260823,11,"mirage_joint","pi01",0.01,0.0171826231992386,0.00718262319923862
20260823,11,"mirage_joint","pi11",0.01,5.63265890231715e-05,0.00994367341097683
20260823,11,"mirage_joint","eta1_C1",0.05,0.163071444617015,0.113071444617015
20260823,11,"mirage_joint","eta1_C2",0.2,0.255747937915917,0.0557479379159173
20260823,11,"mirage_joint","eta1_C3",0.5,0.768121210368377,0.268121210368377
20260823,11,"mirage_joint","eta2_C1",0.03,0.23235626547014,0.20235626547014
20260823,11,"mirage_joint","eta2_C2",0.15,0.338567074885572,0.188567074885572
20260823,11,"mirage_joint","eta2_C3",0.4,0.286730255988632,0.113269744011368
20260823,11,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260823,11,"separate_mirage","pi10",0.04,0.049,0.009
20260823,11,"separate_mirage","pi01",0.01,0.019,0.009
20260823,11,"separate_mirage","pi11",0.01,0.001,0.009
20260823,11,"separate_mirage","eta1_C1",0.05,0.204786396161456,0.154786396161456
20260823,11,"separate_mirage","eta1_C2",0.2,0.323816030013426,0.123816030013426
20260823,11,"separate_mirage","eta1_C3",0.5,0.930577926358992,0.430577926358992
20260823,11,"separate_mirage","eta2_C1",0.03,0.233381327688388,0.203381327688388
20260823,11,"separate_mirage","eta2_C2",0.15,0.320716933312461,0.170716933312461
20260823,11,"separate_mirage","eta2_C3",0.4,0.267756303661314,0.132243696338686
20260823,11,"mtada_aggregated","pi00",0.94,0.93905727,0.000942730000000003
20260823,11,"mtada_aggregated","pi10",0.04,0.04094273,0.000942730000000003
20260823,11,"mtada_aggregated","pi01",0.01,0.01094273,0.000942730000000001
20260823,11,"mtada_aggregated","pi11",0.01,0.00905727,0.000942730000000001
20260824,12,"mirage_joint","pi00",0.94,0.939021085161651,0.000978914838348999
20260824,12,"mirage_joint","pi10",0.04,0.0163997725327181,0.0236002274672819
20260824,12,"mirage_joint","pi01",0.01,0.0224343463523102,0.0124343463523102
20260824,12,"mirage_joint","pi11",0.01,0.0221447959533208,0.0121447959533208
20260824,12,"mirage_joint","eta1_C1",0.05,0.0022700059066966,0.0477299940933034
20260824,12,"mirage_joint","eta1_C2",0.2,0.336825358896028,0.136825358896028
20260824,12,"mirage_joint","eta1_C3",0.5,0.693646426445958,0.193646426445958
20260824,12,"mirage_joint","eta2_C1",0.03,9.04720796449337e-05,0.0299095279203551
20260824,12,"mirage_joint","eta2_C2",0.15,0.309918581499724,0.159918581499724
20260824,12,"mirage_joint","eta2_C3",0.4,5.7058450346082e-05,0.399942941549654
20260824,12,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260824,12,"separate_mirage","pi10",0.04,0.049,0.009
20260824,12,"separate_mirage","pi01",0.01,0.019,0.009
20260824,12,"separate_mirage","pi11",0.01,0.001,0.009
20260824,12,"separate_mirage","eta1_C1",0.05,0.000367265652031217,0.0496327343479688
20260824,12,"separate_mirage","eta1_C2",0.2,0.296505024489661,0.0965050244896615
