"rep","bg_variants","causal_variants","bg_causal_variants","case_bg","control_bg","case_per_bg","control_per_bg","case_af","control_af"
68,716,58,5,3752,3543,5.24022346368715,4.94832402234637,0.000873370577281192,0.000824720670391061
69,775,62,6,3738,3613,4.82322580645161,4.66193548387097,0.000803870967741935,0.000776989247311828
70,763,63,3,4083,4112,5.35124508519004,5.38925294888598,0.000891874180865007,0.000898208824814329
71,758,66,6,4501,4351,5.93799472295515,5.7401055408971,0.000989665787159191,0.000956684256816183
72,759,79,1,4148,4132,5.46508563899868,5.44400527009223,0.00091084760649978,0.000907334211682038
73,769,58,1,4011,3963,5.21586475942783,5.15344603381014,0.000869310793237971,0.00085890767230169
74,758,58,6,4599,4517,6.06728232189974,5.95910290237467,0.00101121372031662,0.000993183817062445
75,751,59,3,3909,3822,5.20505992010652,5.08921438082557,0.000867509986684421,0.000848202396804261
76,772,66,4,4509,4684,5.84067357512953,6.06735751295337,0.000973445595854922,0.00101122625215889
77,689,81,2,3885,3710,5.63860667634253,5.38461538461539,0.000939767779390421,0.000897435897435897
78,746,80,4,3924,3860,5.26005361930295,5.17426273458445,0.000876675603217158,0.000862377122430742
79,735,80,5,3974,3853,5.40680272108844,5.2421768707483,0.000901133786848073,0.000873696145124717
80,757,51,3,3832,3926,5.06208718626156,5.18626155878468,0.00084368119771026,0.000864376926464113
81,732,73,2,3708,3717,5.0655737704918,5.07786885245902,0.000844262295081967,0.000846311475409836
82,743,71,5,3981,4042,5.35800807537012,5.44010767160162,0.00089300134589502,0.000906684611933602
83,743,70,5,4008,3737,5.39434724091521,5.02960969044415,0.000899057873485868,0.000838268281740691
84,753,55,0,4409,4131,5.85524568393094,5.48605577689243,0.000975874280655157,0.000914342629482072
85,738,71,2,4060,4009,5.50135501355014,5.43224932249322,0.000916892502258356,0.000905374887082204
86,741,67,2,3917,3965,5.28609986504723,5.35087719298246,0.000881016644174539,0.000891812865497076
87,773,58,3,4215,4077,5.45278137128072,5.27425614489004,0.000908796895213454,0.000879042690815006
88,733,64,1,3910,3913,5.33424283765348,5.33833560709413,0.000889040472942246,0.000889722601182356
89,700,54,4,3769,3815,5.38428571428571,5.45,0.000897380952380952,0.000908333333333333
90,775,61,7,4798,4648,6.19096774193548,5.99741935483871,0.00103182795698925,0.000999569892473118
91,740,65,4,4010,4069,5.41891891891892,5.49864864864865,0.000903153153153153,0.000916441441441441
92,744,58,2,3910,3971,5.25537634408602,5.33736559139785,0.00087589605734767,0.000889560931899642
93,796,65,3,4541,4459,5.70477386934673,5.60175879396985,0.000950795644891122,0.000933626465661642
94,710,73,2,3920,3702,5.52112676056338,5.21408450704225,0.00092018779342723,0.000869014084507042
95,750,93,8,3691,3632,4.92133333333333,4.84266666666667,0.000820222222222222,0.000807111111111111
96,763,66,4,3544,3679,4.64482306684142,4.82175622542595,0.000774137177806903,0.000803626037570992
97,766,72,6,4337,4100,5.66187989556136,5.35248041775457,0.000943646649260226,0.000892080069625761
98,739,80,7,4143,4264,5.60622462787551,5.76995940460081,0.000934370771312585,0.000961659900766802
99,722,72,3,3450,3535,4.77839335180055,4.89612188365651,0.000796398891966759,0.000816020313942752
100,815,66,3,4343,4226,5.32883435582822,5.18527607361963,0.000888139059304703,0.000864212678936605
